"primary_key","parent","parent_tag","machine","machine_guid","machine_tag","component","component_tag","bearing","bearing_tag","point","point_tag","type","parameter","unit","alarm_type","dg_plus","al_plus","pal_plus","pal_minus","al_minus","dg_minus","date_list","date_meas","value","status","status_code","file_key","dw_date","area_sub_1","area_sub_2","area_sub_3","area_sub_4","area_sub_5","area_sub_6","area_sub_7","area_sub_8","area_sub_9","area_sub_10","wave_join_key","client","test_point_name"
"000ee19d4ba2352f4c0c3660533cf0f3","SOT & WWTP/Building 46/Level 1 south Ext",NULL,"2204673-65200","8f669413-f706-47d4-92c1-000af5b89657",NULL,"Pump1",NULL,"3PP-DE",NULL,"3-PP-Ax",NULL,"BandEnergyFromSpectrum","HF RMS Accel","g","AlarmTypeHigh","6.000","3.000","1.500",NULL,NULL,NULL,"2026-04-10 07:45:56","2026-04-10 07:45:56","0.014","Ok","2","J20260411070002B10E960","2026-04-11 07:15:31.403974+00","SOT & WWTP","Building 46","Level 1 south Ext","","","","","","","","B10E960","DSM"," Pump DE"
"009caa58731cb604f3b3b00eff245d53","SOT & WWTP/Building 46/Level 1 South Int",NULL,"2204674-12200","920f4ad8-e17b-4e95-bb07-fe8ccfbdeb6a",NULL,"ElectricMotor1",NULL,"1MT-NDE",NULL,"1-MT-RV",NULL,"BroadBand","Envelope Energy","g",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-04-10 07:59:41","2026-04-10 07:58:07","0.019","Unknown","1","J20260411070002B10E550","2026-04-11 07:15:15.907019+00","SOT & WWTP","Building 46","Level 1 South Int","","","","","","","","B10E550","DSM"," Motor NDE"
"015892c430a57e6d7e30ed1eabc1d4f9","SOT & WWTP/Building 46/Level 1 south Ext",NULL,"2204674-82200","03730490-e586-4775-9f7d-24435dd06cae",NULL,"Pump1",NULL,"4PP-NDE",NULL,"4-PP-RH",NULL,"Acceleration","Pk-Pk Accel","g","AlarmTypeHigh","9.000","6.000","3.000",NULL,NULL,NULL,"2026-04-10 08:36:06","2026-04-10 08:36:03","2.628","Ok","2","J20260411070002B10E542","2026-04-11 07:15:17.341809+00","SOT & WWTP","Building 46","Level 1 south Ext","","","","","","","","B10E542","DSM"," Pump NDE"
"0166f55d77bb2e42c2f7263bded10138","Calpan/Building 12/Level 2/Step 34",NULL,"100-12-34-442-01","10694b53-68ec-4cc5-ba70-011ea9cfc8cb",NULL,"ElectricMotor1",NULL,"1MT-NDE",NULL,"1-MT-Ax",NULL,"BandEnergyFromSpectrum","MF Velocity (~3-8X)","mm/s","AlarmTypeHigh","5.000","3.000","1.000",NULL,NULL,NULL,"2026-04-10 07:04:28","2026-04-10 07:04:28","0.342","Ok","2","J20260411070002B10E108","2026-04-11 07:15:30.283493+00","Calpan","Building 12","Level 2","Step 34","","","","","","","B10E108","DSM"," Motor NDE"
"0171b4ddcc9ad907a2a8278fc1c0c3df","Calpan/Building 12/Level 3/Step 34",NULL,"100-12-34-772-01","6b5b6534-5ed7-4bf6-959a-47e0f9d1edb4",NULL,"ElectricMotor1",NULL,"1MT-NDE",NULL,"1-MT-RV",NULL,"BandEnergyFromSpectrum","HF RMS Accel","g","AlarmTypeHigh","6.000","3.000","1.500",NULL,NULL,NULL,"2026-04-10 09:25:26","2026-04-10 09:25:26","0.004","Ok","2","J20260411070002B10E326","2026-04-11 07:15:18.100414+00","Calpan","Building 12","Level 3","Step 34","","","","","","","B10E326","DSM"," Motor NDE"
"0176831a5fe3f2ccd8362f65cb571880","Calpan/Building 12/Level 3/Step 34",NULL,"100-12-34-122-01","2f0c1896-955a-4c2b-b25f-c632bd837c5d",NULL,"ElectricMotor1",NULL,"1MT-NDE",NULL,"1-MT-RV",NULL,"BandEnergyFromSpectrum","HF RMS Accel","g","AlarmTypeHigh","6.000","3.000","1.500",NULL,NULL,NULL,"2026-04-10 09:11:47","2026-04-10 09:11:47","0.019","Ok","2","J20260411070002B10E320","2026-04-11 07:15:20.786773+00","Calpan","Building 12","Level 3","Step 34","","","","","","","B10E320","DSM"," Motor NDE"
"01a6ed3d5fe289c421c471813357ed06","SOT & WWTP/Building 46/Level 1 south Ext",NULL,"2204674-82200","03730490-e586-4775-9f7d-24435dd06cae",NULL,"Pump1",NULL,"3PP-DE",NULL,"3-PP-RV",NULL,"Acceleration","OV Accel","g","AlarmTypeHigh","6.000","3.000","2.000",NULL,NULL,NULL,"2026-04-10 08:36:06","2026-04-10 08:35:33","0.379","Ok","2","J20260411070002B10E542","2026-04-11 07:15:17.341809+00","SOT & WWTP","Building 46","Level 1 south Ext","","","","","","","","B10E542","DSM"," Pump DE"
"01adc3823a2d3086e9dfd18c13e0f006","SOT & WWTP/Building 46/Level 1 south Ext",NULL,"2204674-82200","03730490-e586-4775-9f7d-24435dd06cae",NULL,"ElectricMotor1",NULL,"1MT-NDE",NULL,"1-MT-RH",NULL,"Acceleration","OV Accel","g","AlarmTypeHigh","6.000","3.000","2.000",NULL,NULL,NULL,"2026-04-10 08:36:06","2026-04-10 08:34:36","0.152","Ok","2","J20260411070002B10E542","2026-04-11 07:15:17.341809+00","SOT & WWTP","Building 46","Level 1 south Ext","","","","","","","","B10E542","DSM"," Motor NDE"
"01c94dc86cafb34c759c96bd149e82b4","Calpan/Building 12/Level 3/Step 34",NULL,"100-12-34-112-01","6ede0422-81cb-4ec5-a1c5-1d25b11af911",NULL,"ElectricMotor1",NULL,"1MT-NDE",NULL,"1-MT-RH",NULL,"Acceleration","Pk-Pk Accel","g","AlarmTypeHigh","9.000","6.000","3.000",NULL,NULL,NULL,"2026-04-10 09:38:31","2026-04-10 09:37:01","0.600","Ok","2","J20260411070002B10E332","2026-04-11 07:16:22.283852+00","Calpan","Building 12","Level 3","Step 34","","","","","","","B10E332","DSM"," Motor NDE"
"01daac56090993ebf88203983d64a431","SOT & WWTP/Building 46/Level 1 South Int",NULL,"2204674-12200","920f4ad8-e17b-4e95-bb07-fe8ccfbdeb6a",NULL,"Pump1",NULL,"4PP-NDE",NULL,"4-PP-Ax",NULL,"BandEnergyFromSpectrum","LF RMS Accel","g","AlarmTypeHigh","0.800","0.400","0.200",NULL,NULL,NULL,"2026-04-10 07:59:41","2026-04-10 07:59:41","0.076","Ok","2","J20260411070002B10E550","2026-04-11 07:15:15.907019+00","SOT & WWTP","Building 46","Level 1 South Int","","","","","","","","B10E550","DSM"," Pump NDE"
