client,area,machine_guid,machine,component,bearing,point,parameter,type,unit,test_point_name,iso_pre_alarm,iso_alarm,iso_danger,baseline_avg,smart_warning,smart_alarm,stable,stability_note,slope_per_month_pct,trend_p_value,months_of_data,total_readings,computed_at
DSM,VIT C/Building 6/Level 4 South,0040158e-78eb-4023-85e4-398598625436,3000652-50100,ElectricMotor1,1MT-NDE,1-MT-Ax,HF RMS Accel,BandEnergyFromSpectrum,g,,1.5,3.0,6.0,,,,,"Insufficient data: 2 month(s), need 3",,,2,2,2026-07-13 13:35:28 UTC
DSM,VIT C/Building 6/Level 4 South,0040158e-78eb-4023-85e4-398598625436,3000652-50100,ElectricMotor1,1MT-NDE,1-MT-Ax,LF RMS Accel,BandEnergyFromSpectrum,g,,0.2,0.4,0.8,,,,,"Insufficient data: 2 month(s), need 3",,,2,2,2026-07-13 13:35:28 UTC
DSM,VIT C/Building 6/Level 4 South,0040158e-78eb-4023-85e4-398598625436,3000652-50100,ElectricMotor1,1MT-NDE,1-MT-Ax,MF RMS Accel,BandEnergyFromSpectrum,g,,0.5,1.0,2.0,,,,,"Insufficient data: 2 month(s), need 3",,,2,2,2026-07-13 13:35:28 UTC
DSM,VIT C/Building 6/Level 4 South,0040158e-78eb-4023-85e4-398598625436,3000652-50100,ElectricMotor1,1MT-NDE,1-MT-Ax,MF Velocity (~3-8X),BandEnergyFromSpectrum,mm/s,,1.0,3.0,5.0,,,,,"Insufficient data: 2 month(s), need 3",,,2,2,2026-07-13 13:35:28 UTC
DSM,VIT C/Building 6/Level 4 South,0040158e-78eb-4023-85e4-398598625436,3000652-50100,ElectricMotor1,1MT-NDE,1-MT-Ax,OV Accel,Acceleration,g,,2.0,3.0,6.0,,,,,"Insufficient data: 2 month(s), need 3",,,2,2,2026-07-13 13:35:28 UTC
DSM,VIT C/Building 6/Level 4 South,0040158e-78eb-4023-85e4-398598625436,3000652-50100,ElectricMotor1,1MT-NDE,1-MT-Ax,OV Vel,VibrationVelocity,mm/s,,2.3,4.5,7.1,,,,,"Insufficient data: 2 month(s), need 3",,,2,2,2026-07-13 13:35:28 UTC
DSM,VIT C/Building 6/Level 4 South,0040158e-78eb-4023-85e4-398598625436,3000652-50100,ElectricMotor1,1MT-NDE,1-MT-Ax,Pk-Pk Accel,Acceleration,g,,3.0,6.0,9.0,,,,,"Insufficient data: 2 month(s), need 3",,,2,2,2026-07-13 13:35:28 UTC
DSM,VIT C/Building 6/Level 4 South,0040158e-78eb-4023-85e4-398598625436,3000652-50100,ElectricMotor1,1MT-NDE,1-MT-RH,HF RMS Accel,BandEnergyFromSpectrum,g,,1.5,3.0,6.0,,,,,"Insufficient data: 2 month(s), need 3",,,2,2,2026-07-13 13:35:28 UTC
DSM,VIT C/Building 6/Level 4 South,0040158e-78eb-4023-85e4-398598625436,3000652-50100,ElectricMotor1,1MT-NDE,1-MT-RH,LF RMS Accel,BandEnergyFromSpectrum,g,,0.2,0.4,0.8,,,,,"Insufficient data: 2 month(s), need 3",,,2,2,2026-07-13 13:35:28 UTC
DSM,VIT C/Building 6/Level 4 South,0040158e-78eb-4023-85e4-398598625436,3000652-50100,ElectricMotor1,1MT-NDE,1-MT-RH,MF RMS Accel,BandEnergyFromSpectrum,g,,0.5,1.0,2.0,,,,,"Insufficient data: 2 month(s), need 3",,,2,2,2026-07-13 13:35:28 UTC
DSM,VIT C/Building 6/Level 4 South,0040158e-78eb-4023-85e4-398598625436,3000652-50100,ElectricMotor1,1MT-NDE,1-MT-RH,MF Velocity (~3-8X),BandEnergyFromSpectrum,mm/s,,1.0,3.0,5.0,,,,,"Insufficient data: 2 month(s), need 3",,,2,2,2026-07-13 13:35:28 UTC
DSM,VIT C/Building 6/Level 4 South,0040158e-78eb-4023-85e4-398598625436,3000652-50100,ElectricMotor1,1MT-NDE,1-MT-RH,OV Accel,Acceleration,g,,2.0,3.0,6.0,,,,,"Insufficient data: 2 month(s), need 3",,,2,2,2026-07-13 13:35:28 UTC
DSM,VIT C/Building 6/Level 4 South,0040158e-78eb-4023-85e4-398598625436,3000652-50100,ElectricMotor1,1MT-NDE,1-MT-RH,OV Vel,VibrationVelocity,mm/s,,2.3,4.5,7.1,,,,,"Insufficient data: 2 month(s), need 3",,,2,2,2026-07-13 13:35:28 UTC
